Kategori,Spørsmål,Svar
,"Hvilken norsk politiker er kjent for sitatet ""alt henger sammen med alt""?",Gro Harlem Brundtland
,Hvilken er den største øya i middelhavet?,Sicilia
,Hvilket vitamin er det vi får fra solen?,D-Vitamin
,,Casper Ruud
,"Hvilken forfatter er kjent for sitatet ""Jeg har ingenting i mot å dø. Men ikke i morgen, det er noen ting jeg vil rekke å gjøre først""?",Astrid Lindgren
,I 2005 ble en karakter ved navn Leeroy Jenkins kjent gjennom en video fra et dataspill. Hvilket dataspill?,World of Warcraft
,"LVMH er et selskap som eier veldig store deler av luksusverdenen, inkludert de fleste champagner, Fendi, Dior, Bulgari, Givenchy, og så videre, og så videre. Hva står LVMH for?","Louis Vuitton, Moet, Hennessy"
,Hvilken fugl legger egg i andre fugler sine reder?,Gjøk
,Hva er det engelskmennene kaller en Courgette?,"Zuccini, squash"
,Hvilken er den sjette planeten fra sola?,Saturn
,Hvilket oppslagsverk ble opprinnelig grunnlagt for å løse opp i krangler om fakta på puben?,Guinness Rekordbok
,Hva heter han som ble valgt til president i Brasil i 2022?,Lula
,Hva heter konspirasjonsteorien som startet på 4chan i oktober 2017?,QAnon
,Hvilket år ble FN grunnlagt?,1945
,Hva heter panteren i Jungelboken?,Bagheera
,Hva heter suksessfilmen fra 1995 der Kevin Spacey spiller morderen?,Se7en
,Hva er New Zealands nasjonalfugl?,Kiwi
,Hva heter sønnene til Prins Charles og Prinsesse Diana?,William og Harry
,Hvilket band har en vokalist som kalles Prepple?,DumDum Boys
,Hvilket atom er det FLEST av i kroppen?,Hydrogen
,Hva er Dermatologi læren om?,Huden
,Hva heter den trofaste medhjelperen til Sherlock Holmes?,Dr. Watson
,Hvilken forfatter skrev de tre musketerer?,[Alexandre] Dumas
,Hvilken artist kuppet alle de ti øverste plassene på Billboard Hot 100-listen i USA for første gang i historien i 2022?,Taylor Swift
,Hvilket år ble Norges union med Sverige oppløst?,1905
,Hva het den tyske forbundskansleren fra 2005-2021?,Angela Merkel
,"Hvilken sykdom ble ofte kalt ""Tæring"" da den herjet i Norge?",Tuberkulose
,"Fra hvilket land ""kjøpte"" USA delstaten Florida?",Spania
,Mellom hvilke to steder i norge bygges det en sykkelmotorvei til over 1 milliard kroner (2022)? ,Stavanger - Sandnes
,Hva heter kona til Othello i Shakespeare-teaterstykket Othello?,Desemona
,"I hvilket land heter nasjonalforsamlingen ""Knesset""?",Israel
,"Hvilken kjent, historisk person hadde en hest som het Marengo?",Napoleon [I] [Bonaparte]
,Fra hvilket land kommer panamahatten?,Ecuador
,Nevn tre edelgasser,"helium, neon, argon, krypton, xenon, radon og oganesson"
,"Hvilken forfatter debuterte med romanen ""Carrie""?",[Stephen] King
,Hvilket parti tilhørte den tidligere rikskansleren Angela Merkel?,CDU
,Hvilken produsent står bak sjokoladen Gullbrød?,Nidar
,"Hvem har skrevet romanene Kniv, Tørst, Politi og Gjenferd?",Jo Nesbø
,Hvilket år ble det innført værneplikt (førstegangstjeneste) for kvinner i Norge?,2015
,Hva en en Monstera?,Plante
,"Hvem er, i følge magasinene Fortune og Time Magazine verdens mest kjente og innflytelsesrike drag queen?",Ru Paul
,"Hvor mange landskamper i fotball må man spille for å få utnevnelsen ""gullklokka""?","25, tidligere 50"
,I hvilket Shakespeare-stykke er hovedkarakteren mørkhudet?,Othello
,Hvilken tidligere statsminister i storbritannia var også impresjonistisk kunstmaler og vant nobels litteraturpris?,Winston Churchill
,I Norge heter det Stortinget. Hva heter det i Sverige og Danmark?,"Riksdagen, Folketinget"
,Hvilken sak er det MOvember skal belyse?,"Menns helse - godkjenner også Prostatakreft, Testikkelkreft og Selvmord fordi det er ofte hovedsakene"
,Hvilke fire stater i USA grenser til Mexico?,"Texas, New Mexico, Arizona, California"
,"På en fiolin, hva heter den delen som strengene hviler på?",Broen
,Hva heter den amerikanske presidenten sitt helikopter?,Marine one
,Ett land hadde tidligere navnet Zaire. Hva heter dette landet i dag?,Kongo-Kinshasa eller bare Kongo
,"I hvilken norsk by finner man en berømt og flott musikkpaviljong, som ligger på ""den grønne akse""?",Bergen
,Når fikk Oslo sin første t-banelinje?,1966
,"Hva heter embetsmannen ved ""Folkhälsomyndigheten"" i Sverige som ble kjent som en slags Covid-leder under epidemien på begynnelsen av 2020-tallet?",Anders Tegnell
,"Jeg skal fram til en by i Norge. Byen har: porselensfabrikk, Norsk Hydro, og en internasjonal teaterfestival.",Porsgrunn
,Heimevernet består av to styrker: Innsatsstyrken og områdestrukturen. Men hvor mange er det totalt i hele heimevernet (2020)?,Ca. 40 000
,Hvem var Rikskansler før og etter Angela Merkel? ,"Gerhard Schröder, Olaf Sholz"
,"Hvem var det som røk ut, og så kom tilbake til Stjernekamp på grunn av en feil i 2020? *",Sandra Lyng Haugen
,Fra hvilket land kommer opprinnelig pilsnerøl?,Tjekkia
,I hvilket band var Jan Ove Ottesen frontfigur?,Kaizers Orchestra
,"Hvilke tre ingredienser er det i en negroni, i tillegg til is?","Vermuth, Gin, Campari"
,I hvilken by ligger det opprinnelige Legoland?,Billund
,Hvilken er verdens største produsent av fotografiapparater?,Canon
,"Byen ligger i Sverige, den ligger 13 mil fra Oslo og 16 mil fra Göteborg, har 6300 innbyggere, og Nordmenn er den største innvandrergruppen. Hvilken by?",Strömstad
,Hva var stillingen til Espen Nakstad?,Assisterende direktør i Helsedirektoratet
,Hva er jobben Phil Dunphy i TV-serien Modern family?,Eiendomsmegler
,I hvilken kommune ligger utendørsmuseet Maihaugen?,Lillehammer
,I hvilken by ligger innsjøen Farris?,Larvik
,En norsk toppolitiker fikk i 2020 kritikk for at hun er for seksualisert på forsiden av sin nye biografi. Hva heter hun?,Hadia Tajik
,"De siste årene har det kommet en teknologi som gjør det mulig å bytte ut ansikter i video på en mye enklere måte en før. Hva kalles denne teknologien, og videoene som man lager med den?",Deep fake
,Verdens største Youtuber heter egentlig Felix Kjellberg. Hva kaller han seg på Youtube?,PewDiePie
